"obs" "logrr" "variance" "cat" "cases" "peryears" "dose" "study" "type" "se"
"1" 1 0 NA 0 28 22185.73046875 0 "atm" 2 NA
"2" 2 -0.416729986667633 0.0630500018596649 1 38 43030.5390625 1.82860004901886 "atm" 2 0.251097589731216
"3" 3 -0.395550012588501 0.0603200010955334 2 43 53088.9609375 9.19919967651367 "atm" 2 0.245601311326027
"4" 4 -0.488420009613037 0.0693700015544891 3 32 45348.08984375 22.8570995330811 "atm" 2 0.263381868600845
"5" 5 -0.279029995203018 0.10292000323534 4 16 19790.7890625 35.6666984558105 "atm" 2 0.320811480283737
"6" 6 0.202319994568825 0.0818900018930435 5 27 19919.849609375 58.4257011413574 "atm" 2 0.286164283752441
"7" 7 0 NA 0 100 103002.296875 0 "hpm" 2 NA
"8" 8 -0.415890008211136 0.0256999991834164 1 65 106825.5078125 2.09999990463257 "hpm" 2 0.160312190651894
"9" 9 -0.0986000001430511 0.0203699991106987 2 104 119845.6484375 9.5 "hpm" 2 0.142723500728607
"10" 10 0.09375 0.0273899994790554 3 63 58034.23046875 18.7999992370605 "hpm" 2 0.165499240159988
"11" 11 0.205119997262955 0.034170001745224 4 46 33081.3984375 36.7000007629395 "hpm" 2 0.184851303696632
"12" 12 0.343389987945557 0.0482800006866455 5 30 18454.9296875 59.4000015258789 "hpm" 2 0.219727098941803
"13" 13 0 NA 0 446 224904.5625 0 "io" 2 NA
"14" 14 0.000660000019706786 0.00750999990850687 1 199 105883.8515625 1.70000004768372 "io" 2 0.0866602584719658
"15" 15 0.032480001449585 0.0141000002622604 2 91 47328.44140625 8.60000038146973 "io" 2 0.118743419647217
"16" 16 -0.0501799993216991 0.0383500009775162 3 29 16577.880859375 17.1000003814697 "io" 2 0.195831567049026
"17" 17 0.227349996566772 0.045439999550581 4 25 10208.2998046875 37.7999992370605 "io" 2 0.21316659450531
"18" 18 -0.104730002582073 0.173690006136894 5 6 3542.36010742188 60.5999984741211 "io" 2 0.416761338710785
"19" 19 0 NA 0 80 180925.28125 0 "n1" 2 NA
"20" 20 -0.0776700004935265 0.0274299997836351 1 70 189462.4375 1.79999995231628 "n1" 2 0.165620043873787
"21" 21 -0.0551699995994568 0.034790001809597 2 50 125765.8515625 10.1999998092651 "n1" 2 0.186520785093307
"22" 22 -0.736329972743988 0.141580000519753 3 8 39168.8515625 19.5 "n1" 2 0.376271188259125
"23" 23 -0.196979999542236 0.144690006971359 4 8 21872.869140625 35.7999992370605 "n1" 2 0.380381405353546
"24" 24 0.309089988470078 0.276630014181137 5 4 6735.47021484375 58.4000015258789 "n1" 2 0.525956273078918
"25" 25 0 NA 0 151 234829.546875 0 "n2" 2 NA
"26" 26 0.0417000018060207 0.0144300004467368 1 136 213956.203125 1.79999995231628 "n2" 2 0.120124936103821
"27" 27 -0.167520001530647 0.0218800008296967 2 72 132975.234375 9.5 "n2" 2 0.147918894886971
"28" 28 -0.126230001449585 0.046059999614954 3 27 44705 19.5 "n2" 2 0.214615941047668
"29" 29 0.202549993991852 0.0533000007271767 4 23 24415.609375 35.9000015258789 "n2" 2 0.230867922306061
"30" 30 0.508970022201538 0.103200003504753 5 11 8612.83984375 57.5999984741211 "n2" 2 0.321247577667236
"31" 31 0 NA 0 168 3480.2099609375 0 "nt" 2 NA
"32" 32 -0.180370002985001 0.0181000009179115 1 155 4099.27978515625 1.53199994564056 "nt" 2 0.134536236524582
"33" 33 -0.0277999993413687 0.0286699999123812 2 93 2032.90002441406 9.30200004577637 "nt" 2 0.169322177767754
"34" 34 -0.0262000001966953 0.044939998537302 3 44 966.799987792969 21.0499992370605 "nt" 2 0.211990565061569
"35" 35 0.414400011301041 0.117009997367859 4 15 294.619995117188 33.2599983215332 "nt" 2 0.342067241668701
"36" 36 0.880789995193481 0.229780003428459 5 9 100.019996643066 50.3279991149902 "nt" 2 0.479353725910187
"37" 37 0 NA 0 87 1598.61999511719 0 "ntm" 2 NA
"38" 38 0.259869992733002 0.0300600007176399 1 147 2144.72998046875 2.23900008201599 "ntm" 2 0.173378199338913
"39" 39 -0.165069997310638 0.0289799999445677 2 138 2984.30004882812 9.42700004577637 "ntm" 2 0.170235127210617
"40" 40 0.132129997014999 0.0289299990981817 3 151 2445.080078125 22.2574996948242 "ntm" 2 0.170088216662407
"41" 41 0.354079991579056 0.0449599996209145 4 75 935.619995117188 36.2540016174316 "ntm" 2 0.212037727236748
"42" 42 0.430970013141632 0.0628099963068962 5 44 552.840026855469 56.2314987182617 "ntm" 2 0.250619232654572
"43" 43 0 NA 0 62 22624.439453125 0 "nym" 2 NA
"44" 44 -0.0721200034022331 0.0215700007975101 1 205 97699.7578125 0.96670001745224 "nym" 2 0.146867290139198
"45" 45 0.0829500034451485 0.0262400005012751 2 109 46455.921875 11.3999996185303 "nym" 2 0.161987662315369
"46" 46 0.177049994468689 0.032150000333786 3 69 27467.9609375 22.7999992370605 "nym" 2 0.179304212331772
"47" 47 -0.138349995017052 0.0738900005817413 4 18 10278.599609375 34.2000007629395 "nym" 2 0.271827161312103
"48" 48 0.360430002212524 0.0536400005221367 5 29 10783.5302734375 57 "nym" 2 0.231603115797043
