"id" "author" "type" "dose" "cases" "n" "rr" "lb" "ub" "logrr" "se"
"1" 1 "Grobbee" "ir" 0 8 80 1 1 1 0 0
"2" 1 "Grobbee" "ir" 0.5 23 108 0.58 0.25 1.36 -0.5447272 0.43209444
"3" 1 "Grobbee" "ir" 2.5 18 70 0.68 0.36 1.31 -0.38566247 0.32951583
"4" 1 "Grobbee" "ir" 4.5 5 45 0.48 0.18 1.31 -0.7339692 0.50634234
"5" 2 "Bidel" "ir" 1 35 11772 1 1 1 0 0
"6" 2 "Bidel" "ir" 3.5 54 20551 0.79 0.51 1.22 -0.23572231 0.22250293
"7" 2 "Bidel" "ir" 5.5 69 29927 0.66 0.43 1.03 -0.4155154 0.22284308
"8" 2 "Bidel" "ir" 7.5 52 17406 0.94 0.58 1.52 -0.06187541 0.2457794
"9" 3 "Silletta" "ir" 0 29 5487 1 1 1 0 0
"10" 3 "Silletta" "ir" 1 89 17431 1.2 0.78 1.85 0.1823216 0.22032217
"11" 3 "Silletta" "ir" 3 51 14959 1.06 0.64 1.74 0.05826885 0.25515067
"12" 4 "Larsson" "ci" 0.7 267 2070 1 1 1 0 0
"13" 4 "Larsson" "ci" 2.7 503 3984 0.91 0.79 1.06 -0.09431065 0.07499912
"14" 4 "Larsson" "ci" 4.6 847 7016 0.88 0.77 1.02 -0.12783338 0.07172769
"15" 4 "Larsson" "ci" 6.3 545 5221 0.77 0.66 0.9 -0.26136479 0.07912259
"16" 4 "Larsson" "ci" 9.8 540 5563 0.77 0.66 0.9 -0.26136479 0.07912259
"17" 5 "Larsson" "ci" 0.7 41 2296 1 1 1 0 0
"18" 5 "Larsson" "ci" 2.7 64 4423 0.8 0.54 1.2 -0.22314354 0.20370469
"19" 5 "Larsson" "ci" 4.6 124 7739 0.92 0.64 1.32 -0.08338159 0.18467658
"20" 5 "Larsson" "ci" 6.3 63 5703 0.66 0.44 1 -0.4155154 0.20943766
"21" 5 "Larsson" "ci" 9.8 91 6012 0.98 0.66 1.47 -0.02020269 0.20428381
"22" 6 "Larsson" "ci" 0.7 14 2323 1 1 1 0 0
"23" 6 "Larsson" "ci" 2.7 26 4461 0.91 0.47 1.76 -0.09431065 0.3368267
"24" 6 "Larsson" "ci" 4.6 84 7779 1.24 0.68 2.25 0.21511139 0.30525885
"25" 6 "Larsson" "ci" 6.3 43 5723 1.1 0.59 2.07 0.0953102 0.32020521
"26" 6 "Larsson" "ci" 9.8 49 6054 1.18 0.63 2.2 0.16551439 0.31900914
"27" 7 "Lopez-Garcia" "ir" 0 329 303293 1 1 1 0 0
"28" 7 "Lopez-Garcia" "ir" 0.32 335 236388 0.98 0.84 1.15 -0.02020269 0.08013294
"29" 7 "Lopez-Garcia" "ir" 1.48 802 586501 0.88 0.77 0.81 -0.12783338 0.01291956
"30" 7 "Lopez-Garcia" "ir" 2.95 593 541298 0.81 0.7 0.95 -0.21072103 0.07790491
"31" 7 "Lopez-Garcia" "ir" 4.88 221 222706 0.8 0.64 0.98 -0.22314354 0.10869701
"32" 8 "Mukamal" "ci" 0.5 24 168 1 1 1 0 0
"33" 8 "Mukamal" "ci" 2 34 281 1.08 0.57 2.02 0.07696108 0.32276522
"34" 8 "Mukamal" "ci" 4 37 368 0.94 0.49 1.78 -0.06187541 0.3290783
"35" 8 "Mukamal" "ci" 6 29 255 1.17 0.59 2.29 0.15700371 0.34597181
"36" 8 "Mukamal" "ci" 8 11 162 0.74 0.31 1.75 -0.30110508 0.44153841
"37" 9 "Sugiyama" "ir" 0 21 31959 1 1 1 0 0
"38" 9 "Sugiyama" "ir" 0.5 535 65962 1.51 0.89 2.57 0.41210964 0.2705253
"39" 9 "Sugiyama" "ir" 1.5 44 90235 1.06 0.6 1.87 0.05826885 0.28999615
"40" 10 "Sugiyama" "ir" 0 21 37138 1 1 1 0 0
"41" 10 "Sugiyama" "ir" 0.5 28 77154 0.88 0.47 1.62 -0.12783338 0.3156815
"42" 10 "Sugiyama" "ir" 1.5 24 88480 0.91 0.46 1.81 -0.09431065 0.34945938
"43" 11 "Leurs" "ir" 1 74 2609 1 1 1 0 0
"44" 11 "Leurs" "ir" 3 164 6441 0.84 0.6 1.18 -0.17435342 0.17253888
"45" 11 "Leurs" "ir" 4.5 110 5553 0.72 0.5 1.04 -0.32850403 0.18683197
"46" 11 "Leurs" "ir" 7.5 69 2372 1.15 0.74 1.77 0.13976192 0.22247465
"47" 12 "Leurs" "ir" 1 77 4087 1 1 1 0 0
"48" 12 "Leurs" "ir" 3 126 9640 0.79 0.57 1.09 -0.23572231 0.16538484
"49" 12 "Leurs" "ir" 4.5 60 5197 0.7 0.48 1.02 -0.35667496 0.19229226
"50" 12 "Leurs" "ir" 7.5 28 1397 1.1 0.63 1.9 0.0953102 0.2816096
"51" 13 "de Koning Gans" "ir" 0.5 94 75445 1 1 1 0 0
"52" 13 "de Koning Gans" "ir" 1.5 79 50896 1.13 0.84 1.53 0.12221763 0.15296739
"53" 13 "de Koning Gans" "ir" 2.5 83 51687 1.16 0.86 1.57 0.14841998 0.15354836
"54" 13 "de Koning Gans" "ir" 3.5 108 66336 1.06 0.8 1.41 0.05826885 0.14457746
"55" 13 "de Koning Gans" "ir" 5 154 91701 1.15 0.88 1.5 0.13976192 0.13604803
"56" 13 "de Koning Gans" "ir" 7 80 47283 1.21 0.87 1.67 0.19062039 0.16635144
"57" 14 "Mineharu" "ir" 0 384 145683 1 1 1 0 0
"58" 14 "Mineharu" "ir" 0.7 194 116260 0.78 0.5 1.2 -0.2484614 0.22333798
"59" 14 "Mineharu" "ir" 1.5 127 102867 0.67 0.47 0.96 -0.40047754 0.18219737
"60" 14 "Mineharu" "ir" 3.5 17 39378 0.45 0.17 0.87 -0.79850772 0.41651142
"61" 15 "Mineharu" "ir" 0 374 239297 1 1 1 0 0
