"id" "author" "year" "type" "dose" "cases" "n" "logrr" "se"
"1" 1 "LeGrady et al." 1987 "ci" 0.5 22 249 0 0
"2" 1 "LeGrady et al." 1987 "ci" 2.5 65 655 -0.0725706928348354 0.235151821223823
"3" 1 "LeGrady et al." 1987 "ci" 4.5 66 619 0.0198026272961797 0.234466388771895
"4" 1 "LeGrady et al." 1987 "ci" 6.5 67 387 0.512823626428664 0.231904883527019
"5" 2 "Rosengren et al." 1991 "ci" 0 4 192 0 0
"6" 2 "Rosengren et al." 1991 "ci" 1.5 27 1121 0.14506145384006 0.530034567781743
"7" 2 "Rosengren et al." 1991 "ci" 3.5 45 2464 -0.1316778239752 0.516341015931375
"8" 2 "Rosengren et al." 1991 "ci" 5.5 67 1986 0.482015785693739 0.509130155390825
"9" 2 "Rosengren et al." 1991 "ci" 7.5 20 575 0.512563243664532 0.541343270237919
"10" 2 "Rosengren et al." 1991 "ci" 9.5 6 427 0.0953101798043249 0.400157121916797
"11" 3 "Hart et al. " 1997 "ci" 0 308 2547 0 0
"12" 3 "Hart et al. " 1997 "ci" 1 94 997 -0.116533816255952 0.119898885011667
"13" 3 "Hart et al. " 1997 "ci" 2 104 965 -0.0202027073175195 0.116192736908884
"14" 3 "Hart et al. " 1997 "ci" 3.5 82 895 -0.105360515657826 0.128850752310461
"15" 3 "Hart et al. " 1997 "ci" 5.5 37 362 -0.0408219945202552 0.182471506744173
"16" 4 "Woodward" 1999 "ir" 0 64 1646 0 0
"17" 4 "Woodward" 1999 "ir" 1.5 46 1619 -0.083381608939051 0.186598480832164
"18" 4 "Woodward" 1999 "ir" 3.5 21 1268 -0.446287102628419 0.250211544135644
"19" 4 "Woodward" 1999 "ir" 5.5 25 1112 -0.527632742082372 0.235122852170671
"20" 5 "Woodward" 1999 "ir" 0 20 1558 0 0
"21" 5 "Woodward" 1999 "ir" 1.5 9 1603 -1.04982212449868 0.4008205866362
"22" 5 "Woodward" 1999 "ir" 3.5 7 1296 0.0582689081239758 0.437448578594879
"23" 5 "Woodward" 1999 "ir" 5.5 9 1343 0.048790164169432 0.399713851534516
"24" 6 "Kleemola et al." 2000 "ci" 2 61 1712 0 0
"25" 6 "Kleemola et al." 2000 "ci" 0.495 28 545 0.631271776841858 0.230323395801534
"26" 6 "Kleemola et al." 2000 "ci" 5.5 278 5280 0.207014169384326 0.141580827061002
"27" 6 "Kleemola et al." 2000 "ci" 9.5 509 2538 0.198850858745165 0.154626480502632
"28" 7 "Kleemola et al." 2000 "ci" 1.5 23 2155 0 0
"29" 7 "Kleemola et al." 2000 "ci" 5.5 64 6732 -0.400477566597125 0.244708359121836
"30" 7 "Kleemola et al." 2000 "ci" 9.5 12 1500 -0.562118918153541 0.362598387992643
"39" 10 "Andersen et al." 2006 "ir" 0 160 40836 0 0
"40" 10 "Andersen et al." 2006 "ir" 0.5 157 43635 -0.162518929497775 0.11324780329999
"41" 10 "Andersen et al." 2006 "ir" 2 654 204806 -0.27443684570176 0.0897899038666271
"42" 10 "Andersen et al." 2006 "ir" 4.5 272 80170 -0.210721031315653 0.103434976558205
"43" 10 "Andersen et al." 2006 "ir" 6.5 168 40788 -0.139262067333508 0.116643208579562
"44" 11 "Lopez-Garcia et al." 2008 "ir" 0.0165 459 170743 0 0
"45" 11 "Lopez-Garcia et al." 2008 "ir" 0.302 488 145607 0.048790164169432 0.0755053253230806
"46" 11 "Lopez-Garcia et al." 2008 "ir" 0.85 664 187985 0.0861776962410524 0.0700093994137144
"47" 11 "Lopez-Garcia et al." 2008 "ir" 2.5 357 148389 -0.0512932943875506 0.0803778180203815
"48" 11 "Lopez-Garcia et al." 2008 "ir" 4.5 66 37639 -0.162518929497775 0.14107156857569
"49" 11 "Lopez-Garcia et al." 2008 "ir" 6.5 15 10601 -0.579818495252942 0.306311679526656
