"id" "author" "year" "dose" "type" "cases" "n" "logrr" "se"
"1" 1 "LeGrady et al." 1987 0.5 "ci" 57 249 0 0
"2" 1 "LeGrady et al." 1987 2.5 "ci" 136 655 -0.287682072451781 0.139118722720248
"3" 1 "LeGrady et al." 1987 4.5 "ci" 144 619 -0.174353387144778 0.137319812668239
"4" 1 "LeGrady et al." 1987 6.5 "ci" 115 387 0.0861776962410524 0.140140887102381
"5" 2 "Rosengren et al." 1991 0 "ci" 17 192 0 0
"6" 2 "Rosengren et al." 1991 1.5 "ci" 88 1121 -0.120357580622388 0.253153652515509
"7" 2 "Rosengren et al." 1991 3.5 "ci" 155 2464 -0.341834179762598 0.244255941229304
"8" 2 "Rosengren et al." 1991 5.5 "ci" 155 1986 -0.126170699714306 0.244055904064926
"9" 2 "Rosengren et al." 1991 7.5 "ci" 39 575 -0.266526366696139 0.278418913302732
"10" 2 "Rosengren et al." 1991 9.5 "ci" 24 427 -0.510825623765991 0.28025823690513
"11" 3 "Klatsky et al." 1993 0 "ci" 832 34755 0 0
"12" 3 "Klatsky et al." 1993 0.5 "ci" 564 18106 -0.0408219945202552 0.0587187698907117
"13" 3 "Klatsky et al." 1993 2 "ci" 2081 53596 -0.0618754037180875 0.0435269176098886
"14" 3 "Klatsky et al." 1993 5 "ci" 658 15541 -0.0725706928348354 0.0575383396287691
"15" 3 "Klatsky et al." 1993 8 "ci" 274 5522 -0.127833371509885 0.0750610900504949
"16" 4 "Woodward" 1999 0 "ci" 139 1646 0 0
"17" 4 "Woodward" 1999 1.5 "ci" 101 1619 -0.301105092783922 0.125976331362446
"18" 4 "Woodward" 1999 3.5 "ci" 67 1268 -0.301105092783922 0.143956385030967
"19" 4 "Woodward" 1999 5.5 "ci" 65 1112 -0.261364764134408 0.145162136933343
"20" 5 "Woodward" 1999 0 "ci" 72 1558 0 0
"21" 5 "Woodward" 1999 1.5 "ci" 63 1603 -0.083381608939051 0.168808251931009
"22" 5 "Woodward" 1999 3.5 "ci" 30 1296 -0.261364764134408 0.21402983147263
"23" 5 "Woodward" 1999 5.5 "ci" 36 1343 -0.23572233352107 0.200699318645567
"24" 6 "Kleemola et al." 2000 2 "ci" 172 1712 0 0
"25" 6 "Kleemola et al." 2000 0.495 "ci" 73 545 0.457424847038875 0.139088533286562
"26" 6 "Kleemola et al." 2000 5.5 "ci" 621 5280 -0.0304592074847086 0.0840508166148577
"27" 6 "Kleemola et al." 2000 9.5 "ci" 335 2538 0.00995033085316809 0.0952051647678426
"28" 7 "Kleemola et al." 2000 2 "ci" 87 1786 0 0
"29" 7 "Kleemola et al." 2000 0.495 "ci" 19 369 0.113328685307003 0.248821338837796
"30" 7 "Kleemola et al." 2000 5.5 "ci" 289 6732 -0.23572233352107 0.120404538380032
"31" 7 "Kleemola et al." 2000 9.5 "ci" 49 1500 -0.478035800943 0.17390777671845
"32" 8 "Iwai et al." 2002 0.245 "ir" 132 4685 0 0
"33" 8 "Iwai et al." 2002 0.75 "ir" 71 4162 -0.356674943938732 0.151033434614433
"34" 8 "Iwai et al." 2002 2.25 "ir" 43 4858 -0.843970070294529 0.189269730798311
"35" 9 "Iwai et al." 2002 0.245 "ir" 61 4367 0 0
"36" 9 "Iwai et al." 2002 0.75 "ir" 31 4981 -0.356674943938732 0.225685049096639
"37" 9 "Iwai et al." 2002 2.25 "ir" 23 5303 -0.27443684570176 0.264674642012314
"46" 12 "Andersen et al." 2006 0 "ir" 436 40836 0 0
"47" 12 "Andersen et al." 2006 0.5 "ir" 453 43635 -0.0943106794712413 0.0669296593029314
"48" 12 "Andersen et al." 2006 2 "ir" 2039 204806 -0.162518929497775 0.0542248576488961
"49" 12 "Andersen et al." 2006 4.5 "ir" 817 80170 -0.210721031315653 0.0597432110971415
"50" 12 "Andersen et al." 2006 6.5 "ir" 520 40788 -0.139262067333508 0.0700093994137144
"51" 13 "Paganini-Hill et al." 2006 0 "ci" 4733 5502 0 0
"52" 13 "Paganini-Hill et al." 2006 0.495 "ci" 1207 1476 -0.105360515657826 0.0310451364738571
"53" 13 "Paganini-Hill et al." 2006 1 "ci" 2087 2473 -0.0408219945202552 0.0265971965113289
"54" 13 "Paganini-Hill et al." 2006 2.5 "ci" 2674 3301 -0.116533816255952 0.0256743688213488
"55" 13 "Paganini-Hill et al." 2006 4.5 "ci" 685 872 -0.0618754037180875 0.040577728221859
"56" 14 "Lopez-Garcia et al." 2008 0.0165 "ir" 1553 170743 0 0
"57" 14 "Lopez-Garcia et al." 2008 0.302 "ir" 1570 145607 0.0676586484738149 0.0404261073907588
"58" 14 "Lopez-Garcia et al." 2008 0.85 "ir" 2117 187985 0.0198026272961797 0.0397074769672942
"59" 14 "Lopez-Garcia et al." 2008 2.5 "ir" 1289 148389 -0.0304592074847086 0.0421744848023938
"60" 14 "Lopez-Garcia et al." 2008 4.5 "ir" 286 37639 -0.0725706928348354 0.0710152244360886
"61" 14 "Lopez-Garcia et al." 2008 6.5 "ir" 73 10601 -0.22314355131421 0.1319531923715
"62" 15 "Lopez-Garcia et al." 2008 0.0165 "ir" 1665 319326 0 0
"63" 15 "Lopez-Garcia et al." 2008 0.302 "ir" 1610 247470 -0.0202027073175195 0.0365053172552738
"64" 15 "Lopez-Garcia et al." 2008 0.85 "ir" 3946 609374 -0.0725706928348354 0.0303722857183643
"65" 15 "Lopez-Garcia et al." 2008 2.5 "ir" 2876 563666 -0.198450938723838 0.0311486471430867
"66" 15 "Lopez-Garcia et al." 2008 4.5 "ir" 738 172583 -0.301105092783922 0.0446279207898806
"67" 15 "Lopez-Garcia et al." 2008 6.5 "ir" 260 60180 -0.186329578191493 0.0671983291969769
"68" 16 "Happonen et al." 2008 1.5 "ir" 139 1336 0 0
"69" 16 "Happonen et al." 2008 0 "ir" 36 384 -0.0202027073175195 0.191615928114871
"70" 16 "Happonen et al." 2008 3.5 "ir" 257 2787 -0.0408219945202552 0.108897755768362
"71" 16 "Happonen et al." 2008 5.5 "ir" 161 1991 -0.105360515657826 0.126642062835176
"72" 16 "Happonen et al." 2008 7.5 "ir" 30 462 -0.27443684570176 0.212476817075282
"73" 17 "Ahmed et al." 2009 0.5 "ir" 108 36162 0 0
"74" 17 "Ahmed et al." 2009 2 "ir" 192 65806 -0.150822889734584 0.0562609106158552
"75" 17 "Ahmed et al." 2009 3 "ir" 183 72844 -0.186329578191493 0.055541705062467
"76" 17 "Ahmed et al." 2009 4 "ir" 141 56455 -0.174353387144778 0.0610279819045495
"77" 17 "Ahmed et al." 2009 5.5 "ir" 160 88590 -0.139262067333508 0.0582292479543317
"78" 18 "DeKoning Gans et al." 2010 0.495 "ir" 259 75809 0 0
"79" 18 "DeKoning Gans et al." 2010 2 "ir" 375 103179 -0.0725706928348354 0.0821173545311536
"80" 18 "DeKoning Gans et al." 2010 4.505 "ir" 597 158932 -0.116533816255952 0.076679968695839
"81" 18 "DeKoning Gans et al." 2010 7.505 "ir" 174 47550 -0.0725706928348354 0.105662956142071
"82" 19 "Sugiyama et al." 2010 0 "ir" 365 31959 0 0
"83" 19 "Sugiyama et al." 2010 0.495 "ir" 629 65962 -0.0408219945202552 0.0718468770397496
"84" 19 "Sugiyama et al." 2010 1.5 "ir" 443 58813 -0.0943106794712413 0.0782475171996111
"85" 19 "Sugiyama et al." 2010 3.5 "ir" 210 31422 -0.116533816255952 0.0964454423265434
"86" 20 "Sugiyama et al." 2010 0 "ir" 222 37138 0 0
"87" 20 "Sugiyama et al." 2010 0.495 "ir" 331 77154 -0.127833371509885 0.095147870653999
"88" 20 "Sugiyama et al." 2010 1.5 "ir" 206 68003 -0.198450938723838 0.111050528382103
"89" 20 "Sugiyama et al." 2010 3.5 "ir" 48 20477 -0.287682072451781 0.174405213419745
"90" 21 "Tamakoshi et al." 2011 0.495 "ir" 8989 413510 0 0
"91" 21 "Tamakoshi et al." 2011 1 "ir" 1035 61914 -0.0512932943875506 0.0322663640584489
"92" 21 "Tamakoshi et al." 2011 2.5 "ir" 1004 83801 -0.150822889734584 0.0352424332859227
"93" 21 "Tamakoshi et al." 2011 4.5 "ir" 150 15545 -0.22314355131421 0.0852982618429679
"94" 22 "Tamakoshi et al." 2011 0.495 "ir" 7098 613607 0 0
"95" 22 "Tamakoshi et al." 2011 1 "ir" 738 111465 -0.198450938723838 0.0402813850627063
"96" 22 "Tamakoshi et al." 2011 2.5 "ir" 474 100872 -0.186329578191493 0.0493294369848315
"97" 22 "Tamakoshi et al." 2011 4.5 "ir" 44 10944 -0.116533816255952 0.152509438968271
"98" 23 "Freedman et al." 2012 0 "ci" 2766 21080 0 0
"99" 23 "Freedman et al." 2012 0.5 "ci" 4931 34710 -0.0100503358535015 0.0230903080461306
"100" 23 "Freedman et al." 2012 0.995 "ci" 5049 33961 -0.0618754037180875 0.0243138213786543
"101" 23 "Freedman et al." 2012 2.5 "ci" 14115 97144 -0.105360515657826 0.0199622951274868
"102" 23 "Freedman et al." 2012 4.5 "ci" 4966 32084 -0.127833371509885 0.0259649730382506
"103" 23 "Freedman et al." 2012 6.5 "ci" 1904 10139 -0.105360515657826 0.0310451364738571
"104" 24 "Freedman et al." 2012 0 "ci" 2161 20865 0 0
"105" 24 "Freedman et al." 2012 0.495 "ci" 3221 30085 0.00995033085316809 0.0276736334168546
"106" 24 "Freedman et al." 2012 1 "ci" 3388 31355 -0.0512932943875506 0.0294160322732129
"107" 24 "Freedman et al." 2012 2.5 "ci" 7140 68250 -0.139262067333508 0.0262622370541945
"108" 24 "Freedman et al." 2012 4.5 "ci" 2099 17434 -0.174353387144778 0.0332555657814397
"109" 24 "Freedman et al." 2012 6.5 "ci" 775 5152 -0.162518929497775 0.0448700679754246
