"date" "time" "size" "r_version" "r_arch" "r_os" "package" "version" "country" "ip_id"
"7937" "2013-09-11" "03:13:12" 41458 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "KR" 514
"32566" "2013-09-11" "12:10:37" 41463 NA NA NA "dosresmeta" "1.0" "US" 2379
"38617" "2013-09-11" "13:42:56" 41458 "3.0.1" "x86_64" "mingw32" "dosresmeta" "1.0" "US" 3132
"56659" "2013-09-11" "18:40:29" 41458 "2.15.2" "x86_64" "mingw32" "dosresmeta" "1.0" "DE" 4935
"71463" "2013-09-11" "21:38:15" 41463 NA NA NA "dosresmeta" "1.0" "JP" 975
"71959" "2013-09-11" "21:36:58" 41463 NA NA NA "dosresmeta" "1.0" "IN" 1255
"72499" "2013-09-11" "21:42:06" 41472 NA NA NA "dosresmeta" "1.0" "JP" 2079
"88319" "2013-09-11" "03:13:12" 41458 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "KR" 514
"101572" "2013-09-12" "05:39:05" 41393 "2.12.2" "i386" "mingw32" "dosresmeta" "1.0" "JP" 1859
"119172" "2013-09-12" "10:17:46" 41388 "3.0.1" "x86_64" "darwin10.8.0" "dosresmeta" "1.0" "TW" 2899
"135725" "2013-09-12" "13:09:34" 37594 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "US" 3936
"164600" "2013-09-12" "20:05:30" 41393 "3.0.1" "x86_64" "mingw32" "dosresmeta" "1.0" "US" 5908
"179692" "2013-09-12" "22:31:14" 511 NA NA NA "dosresmeta" "1.0" "US" 1153
"188088" "2013-09-13" "02:25:47" 41263 NA NA NA "dosresmeta" "1.0" "US" 559
"198017" "2013-09-13" "06:15:49" 41117 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "TW" 808
"203363" "2013-09-13" "08:44:20" 41122 NA NA NA "dosresmeta" "1.0" "US" 231
"204033" "2013-09-13" "08:42:27" 41122 NA NA NA "dosresmeta" "1.0" "JP" 664
"205459" "2013-09-13" "08:41:16" 41117 "3.0.1" "x86_64" "mingw32" "dosresmeta" "1.0" "TW" 1272
"221376" "2013-09-13" "13:03:16" 41117 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "JP" 2618
"224371" "2013-09-13" "13:04:39" 41130 NA NA NA "dosresmeta" "1.0" "JP" 269
"227965" "2013-09-13" "13:06:15" 41131 NA NA NA "dosresmeta" "1.0" "JP" 39
"242986" "2013-09-13" "17:34:57" 40853 "3.0.1" "x86_64" "darwin10.8.0" "dosresmeta" "1.0" "US" 4279
"247897" "2013-09-13" "17:42:21" 41130 NA NA NA "dosresmeta" "1.0" "US" 251
"249115" "2013-09-13" "17:40:47" 41122 NA NA NA "dosresmeta" "1.0" "JP" 89
"253475" "2013-09-13" "17:39:47" 41123 "2.15.2" "x86_64" "mingw32" "dosresmeta" "1.0" "JP" 4276
"270553" "2013-09-13" "21:16:59" 41117 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "AR" 578
"284498" "2013-09-14" "02:57:11" 41149 NA NA NA "dosresmeta" "1.0" "US" 326
"284785" "2013-09-14" "02:54:52" 41144 "3.0.1" "x86_64" "mingw32" "dosresmeta" "1.0" "JP" 324
"285311" "2013-09-14" "02:44:17" 11629 "3.0.1" "x86_64" "linux-gnu" "dosresmeta" "1.0" "US" 327
"287471" "2013-09-14" "02:56:09" 41149 NA NA NA "dosresmeta" "1.0" "JP" 19
"316046" "2013-09-14" "17:52:02" 40896 "3.0.1" "x86_64" "mingw32" "dosresmeta" "1.0" "ES" 2025
"365432" "2013-09-16" "03:07:17" 41143 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "CR" 715
"365802" "2013-09-16" "04:34:22" 41143 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "JP" 875
"377097" "2013-09-16" "06:29:26" 41143 "2.15.2" "x86_64" "linux-gnu" "dosresmeta" "1.0" "PL" 1211
"384882" "2013-09-16" "08:59:30" 41143 "3.0.1" "i386" "mingw32" "dosresmeta" "1.0" "GB" 1658
