"Obs" "logrr" "cases" "cat" "peryears" "dose" "variance" "study" "type" "se"
"1" 1 0 45 0 5931.509765625 0 NA "at" 2 NA
"2" 2 -0.19318999350071 61 1 12143 1.84800004959106 0.0406889989972115 "at" 2 0.201715141534805
"3" 3 -0.133650004863739 79 2 14671.51953125 9.08679962158203 0.0365099981427193 "at" 2 0.191075891256332
"4" 4 -0.216729998588562 60 3 12854.2998046875 22.8570995330811 0.0408720001578331 "at" 2 0.202168241143227
"5" 5 -0.186719998717308 53 4 10925.75 45.5951995849609 0.0452510006725788 "at" 2 0.212722823023796
"6" 6 0 51 0 96659.15625 0 NA "hp" 2 NA
"7" 7 -0.223260000348091 41 1 99390.7265625 2.09999990463257 0.0443819984793663 "hp" 2 0.210670351982117
"8" 8 -0.0329100005328655 67 2 111751.78125 9.5 0.0351400002837181 "hp" 2 0.187456667423248
"9" 9 -0.681739985942841 18 3 53704.7109375 18.7999992370605 0.0763309970498085 "hp" 2 0.276280641555786
"10" 10 0.229809999465942 67 4 47656.9609375 40.2999992370605 0.037321001291275 "hp" 2 0.193186447024345
"11" 11 0 111 0 1356.68994140625 0 NA "nt" 2 NA
"12" 12 0.101039998233318 136 1 1782.73999023438 2.20000004768372 0.032090000808239 "nt" 2 0.179136827588081
"13" 13 0.178780004382133 200 2 2456.36010742188 9.30000019073486 0.0284100007265806 "nt" 2 0.168552666902542
"14" 14 0.0957800000905991 193 3 2069.80004882812 22.5 0.0291000008583069 "nt" 2 0.170587226748466
"15" 15 0.527289986610413 188 4 1266.80004882812 41.2999992370605 0.034400001168251 "nt" 2 0.185472369194031
"16" 16 0 47 0 20756.51953125 0 NA "ny" 2 NA
"17" 17 -0.318749994039536 135 1 90930.1796875 0.96670001745224 0.0292470008134842 "ny" 2 0.171017542481422
"18" 18 -0.0535599999129772 86 2 42533.96875 11.3999996185303 0.0336630009114742 "ny" 2 0.18347479403019
"19" 19 -0.163900002837181 53 3 25430.01953125 22.7999992370605 0.0411790013313293 "ny" 2 0.202926099300385
"20" 20 0.15140999853611 71 4 19493.390625 45.5999984741211 0.0370500013232231 "ny" 2 0.192483767867088
