"id" "author" "year" "sex" "type" "dose" "cases" "n" "rr" "lb" "ub" "logrr" "se"
"1" 1 "Mann" 1997 "Both" "ci" 140 138 3853 1 1 1 0 0
"2" 1 "Mann" 1997 "Both" "ci" 280 139 3853 0.7 0.55 0.88 -0.356674943938732 0.1199010882223
"3" 1 "Mann" 1997 "Both" "ci" 420 106 3853 0.87 0.68 1.13 -0.139262067333508 0.129563634215304
"4" 2 "Ness" 2001 "Men" "ci" 94 1194 2638 1 1 1 0 0
"5" 2 "Ness" 2001 "Men" "ci" 473 1108 2977 0.9 0.83 0.97 -0.105360515657826 0.039763580335218
"6" 2 "Ness" 2001 "Men" "ci" 1041 48 150 0.81 0.61 1.09 -0.210721031315653 0.148082827703605
"7" 3 "Elwood" 2004 "Men" "ci" 0 60 162 1 1 1 0 0
"8" 3 "Elwood" 2004 "Men" "ci" 140 375 1104 0.99 0.73 1.34 -0.0100503358535015 0.154946816266385
"9" 3 "Elwood" 2004 "Men" "ci" 425 315 973 0.98 0.72 1.35 -0.0202027073175195 0.160362298588331
"10" 3 "Elwood" 2004 "Men" "ci" 715 61 164 1.2 0.8 1.8 0.182321556793955 0.206873754470195
"11" 4 "Paganini-Hill" 2007 "Both" "ci" 0 2773 3320 1 1 1 0 0
"12" 4 "Paganini-Hill" 2007 "Both" "ci" 100 2818 3445 0.95 0.9 1 -0.0512932943875506 0.0268781764585718
"13" 4 "Paganini-Hill" 2007 "Both" "ci" 200 3649 4342 1.01 0.96 1.06 0.00995033085316809 0.0252787559939487
"14" 4 "Paganini-Hill" 2007 "Both" "ci" 300 2146 2517 1.04 0.98 1.1 0.0392207131532813 0.0294681147288918
"15" 5 "Bonthuis" 2010 "Both" "ci" 109 65 512 1 1 1 0 0
"16" 5 "Bonthuis" 2010 "Both" "ci" 250 55 506 0.85 0.54 1.33 -0.162518929497775 0.229944297131818
"17" 5 "Bonthuis" 2010 "Both" "ci" 500 57 511 0.93 0.59 1.48 -0.0725706928348354 0.234615237094323
"18" 6 "Goldbohm" 2011 "Women" "ir" 0 1266 4994 1 1 1 0 0
"19" 6 "Goldbohm" 2011 "Women" "ir" 21 892 4126 0.96 0.87 1.05 -0.0408219945202552 0.0479733895587551
"20" 6 "Goldbohm" 2011 "Women" "ir" 52 1095 4673 0.96 0.88 1.04 -0.0408219945202552 0.0426166210146889
"21" 6 "Goldbohm" 2011 "Women" "ir" 107 995 4417 0.94 0.86 1.04 -0.0618754037180875 0.0484814017979169
"22" 6 "Goldbohm" 2011 "Women" "ir" 238 1230 4562 0.999 0.91 1.09 -0.00100050033358353 0.0460437990534426
"23" 7 "Goldbohm" 2011 "Men" "ir" 0 2318 4113 1 1 1 0 0
"24" 7 "Goldbohm" 2011 "Men" "ir" 34 2518 4783 0.99 0.93 1.05 -0.0100503358535015 0.0309599711937429
"25" 7 "Goldbohm" 2011 "Men" "ir" 90 1650 3333 0.999 0.94 1.08 -0.00100050033358353 0.0354181112380993
"26" 7 "Goldbohm" 2011 "Men" "ir" 156 2041 4163 1.01 0.94 1.08 0.00995033085316809 0.0354181112380993
