"id" "author" "type" "cases" "n" "logrr" "dose" "se" "dosep1" "dosep2"
"1" 1 "Gammon et al." "cc" 19 191 0 0 0 0 0
"2" 1 "Gammon et al." "cc" 16 177 -0.2231435 4.464 0.353653 4.464 6.678347
"3" 1 "Gammon et al." "cc" 25 159 0.5877867 14.286 0.3464664 14.286 37.99047
"4" 1 "Gammon et al." "cc" 48 186 1.064711 37.5 0.3267749 37.5 135.9128
"5" 1 "Gammon et al." "cc" 106 196 2.00148 64.5 0.3140623 64.5 268.7499
"6" 2 "Lindblad et al." "cc" 49 3422 0 7.9 0 7.9 16.32822
"7" 2 "Lindblad et al." "cc" 20 1682 0.0099503 67.2 0.2729532 67.2 282.7556
"8" 2 "Lindblad et al." "cc" 13 576 0.8919981 193.6 0.3363777 193.6 1019.458
"9" 2 "Lindblad et al." "cc" 5 188 1.22083 322.44 0.4972675 322.44 1862.387
"10" 3 "De Stefani et al." "cc" 26 126 0 0 0 0 0
"11" 3 "De Stefani et al." "cc" 16 77 -0.1625189 10 0.3837003 10 23.02585
"12" 3 "De Stefani et al." "cc" 12 63 -0.3424903 29.6 0.4270427 29.6 100.2781
"13" 3 "De Stefani et al." "cc" 50 167 0.3148108 79.6 0.2802634 79.6 348.4103
"14" 3 "De Stefani et al." "cc" 46 84 1.272566 159.6 0.3214992 159.6 809.5983
"15" 3 "De Stefani et al." "cc" 49 80 1.66203 240 0.3390715 240 1315.353
"16" 4 "Brown et al." "cc" 14 285 0 8.5 0 8.5 18.19056
"17" 4 "Brown et al." "cc" 24 130 1.163151 26.714 0.385583 26.714 87.76051
"18" 4 "Brown et al." "cc" 77 226 2.066863 60.714 0.3342685 60.714 249.3023
"19" 4 "Brown et al." "cc" 85 151 2.815409 145.714 0.3505978 145.714 725.8956
"20" 4 "Brown et al." "cc" 46 67 3.292126 247.714 0.4165115 247.714 1365.468
"21" 5 "Castelletto et al." "cc" 12 71 0 0 0 0 0
"22" 5 "Castelletto et al." "cc" 56 200 0.6931472 40 0.3929779 40 147.5552
"23" 5 "Castelletto et al." "cc" 33 64 1.704748 119.6 0.4665745 119.6 572.1847
"24" 5 "Castelletto et al." "cc" 27 51 2.079442 192 0.4988328 192 1009.439
"25" 6 "Vaughan et al." "cc" 27 560 0 5.357 0 5.357 8.991211
"26" 6 "Vaughan et al." "cc" 20 112 1.791759 17.857 0.4105785 17.857 51.47094
"27" 6 "Vaughan et al." "cc" 11 45 1.84055 30.357 0.5347913 30.357 103.6093
"28" 6 "Vaughan et al." "cc" 30 84 2.251292 45 0.4383479 45 171.2998
"29" 7 "Launoy et al." "cc" 14 121 0 10.786 0 10.786 25.65179
"30" 7 "Launoy et al." "cc" 41 141 0.8458683 32.214 0.3875715 32.214 111.8599
"31" 7 "Launoy et al." "cc" 40 139 0.4382549 53.643 0.3995649 53.643 213.6253
"32" 7 "Launoy et al." "cc" 45 98 0.9858168 75.071 0.4152516 75.071 324.1892
"33" 7 "Launoy et al." "cc" 68 108 1.623341 103.029 0.4357502 103.029 477.5405
"34" 8 "Lee et al." "cc" 69 347 0 0 0 0 0
"35" 8 "Lee et al." "cc" 80 154 1.147402 5.05 0.2134967 5.05 8.177911
"36" 8 "Lee et al." "cc" 116 185 1.796747 20.05 0.2162436 20.05 60.11449
"37" 8 "Lee et al." "cc" 91 112 2.62684 40.05 0.2618473 40.05 147.7896
"38" 8 "Lee et al." "cc" 202 242 2.729812 60.12 0.222543 60.12 246.2721
"39" 9 "Lagergren et al." "cc" 16 148 0 0 0 0 0
"40" 9 "Lagergren et al." "cc" 34 255 -0.1053605 1.143 0.3837003 1.143 0.1527693
"41" 9 "Lagergren et al." "cc" 39 328 -0.2231435 6.143 0.3837003 6.143 11.15147
"42" 9 "Lagergren et al." "cc" 78 256 1.131402 12.171 0.3994041 12.171 30.41601
"43" 10 "Sharp et al." "cc" 57 106 0 0 0 0 0
"44" 10 "Sharp et al." "cc" 47 99 -0.210721 1.866 0.3347476 1.866 1.164006
"45" 10 "Sharp et al." "cc" 41 88 -0.3285041 14.277 0.3837003 14.277 37.95755
"46" 10 "Sharp et al." "cc" 11 19 -0.1508229 30 0.6296288 30 102.0359
"47" 11 "Wu et al." "cc" 17 221 0 0 0 0 0
"48" 11 "Wu et al." "cc" 113 159 2.76001 15.02 0.3418586 15.02 40.69493
"49" 11 "Wu et al." "cc" 30 34 4.175925 36.048 0.6590025 36.048 129.2267
"50" 12 "Hashibe et al." "cc" 5 106 0 0 0 0 0
"51" 12 "Hashibe et al." "cc" 69 609 1.12493 10 0.5223061 10 23.02585
"52" 12 "Hashibe et al." "cc" 34 193 1.506297 29.929 0.5756039 29.929 101.7235
"53" 12 "Hashibe et al." "cc" 20 91 2.09679 49.929 0.6125697 49.929 195.2525
"54" 12 "Hashibe et al." "cc" 55 197 2.280339 72 0.5893851 72 307.92
"55" 13 "Zambon et al." "cc" 14 196 0 18.75 0 18.75 54.95988
"56" 13 "Zambon et al." "cc" 47 210 1.418277 49.107 0.3425328 49.107 191.2227
"57" 13 "Zambon et al." "cc" 57 177 1.826161 80.357 0.3446145 80.357 352.4843
"58" 13 "Zambon et al." "cc" 84 154 2.672768 124.107 0.3502181 124.107 598.3378
"59" 13 "Zambon et al." "cc" 72 108 3.197448 180 0.3747569 180 934.7322
"60" 14 "Ishiguro et al." "cc" 24 116578 0 0 0 0 0
"61" 14 "Ishiguro et al." "cc" 41 133620 0.4946962 10.714 0.2712481 10.714 25.4088
"62" 14 "Ishiguro et al." "cc" 55 114456 0.9516579 32.136 0.2564361 32.136 111.5112
"63" 14 "Ishiguro et al." "cc" 90 111843 1.534714 51.429 0.2434847 51.429 202.6407
